model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0557342018747298,0.1390456349206349,0.095,0.0313917555874077,0.0733333333333333,0.0605932075171205,0.052,0.0699749993364123,0.0405,0.1008622259383129
bge-small,recent,title_module_w100_recent,title,module,w100,0.9325,0.945,0.945,0.9283333333333336,0.3183333333333333,0.9325,0.1909999999999999,0.9325,0.0954999999999999,0.9325
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0518435816914713,0.1428472222222222,0.1,0.0295584222540744,0.0716666666666666,0.0521002813611509,0.057,0.0678402512342729,0.044,0.0936362435163586
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.9325,0.945,0.945,0.9283333333333336,0.3183333333333333,0.9325,0.191,0.9325,0.0955,0.9325
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.0521350369312843,0.1303492063492063,0.085,0.0305841727716727,0.0583333333333333,0.0425550080957689,0.063,0.0709052463237245,0.044,0.0993764764824547
bge-small,recent,comments_module_w100_recent,comments,module,w100,0.9316666666666664,0.945,0.945,0.9283333333333336,0.3183333333333333,0.9325,0.191,0.9325,0.0955,0.9325
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1267839583648035,0.2188234126984126,0.13,0.0553329652728629,0.1133333333333333,0.1434577498375452,0.1,0.1848574113262412,0.0745,0.2548832693062284
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.8179305555555555,0.8210416666666666,0.665,0.6541666666666667,0.3366666666666666,0.9766666666666666,0.206,0.9933333333333334,0.104,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.1410246244008137,0.2556309523809524,0.165,0.0635187474079789,0.1283333333333333,0.1475108189731003,0.115,0.2067454681618787,0.0834999999999999,0.2689447447347269
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.8084722222222223,0.8111666666666667,0.65,0.6366666666666666,0.33,0.9658333333333334,0.205,0.9916666666666666,0.104,1.0
bge-small,recent,comments_file_w1000_recent,comments,file,w1000,0.1434344756726542,0.2390813492063492,0.16,0.0771577658452658,0.1233333333333333,0.1341427244293396,0.1089999999999999,0.1855301513958957,0.0805,0.252906767157917
bge-small,recent,comments_module_w1000_recent,comments,module,w1000,0.7597063492063492,0.764047619047619,0.56,0.5516666666666667,0.3316666666666666,0.9725,0.204,0.9883333333333334,0.104,1.0
bge-small,recent,title_file_all_recent,title,file,all,0.1446103327302792,0.2315912698412698,0.145,0.064135567863509,0.13,0.1439541543213269,0.1079999999999999,0.1913943100380172,0.0895,0.2812310242764413
bge-small,recent,title_module_all_recent,title,module,all,0.7005747354497354,0.7066904761904763,0.58,0.5691666666666666,0.2683333333333333,0.7833333333333333,0.18,0.8725,0.101,0.9733333333333334
bge-small,recent,desc_file_all_recent,desc,file,all,0.1727136584175869,0.2875416666666666,0.175,0.0680802984776821,0.1633333333333333,0.1793279784937445,0.133,0.2313859892456543,0.107,0.3419689550410767
bge-small,recent,desc_module_all_recent,desc,module,all,0.7916884920634919,0.7990099206349206,0.705,0.6883333333333332,0.2916666666666667,0.85,0.184,0.8925,0.1015,0.9816666666666668
bge-small,recent,comments_file_all_recent,comments,file,all,0.1736880094378041,0.2915694444444444,0.185,0.0838735536096469,0.15,0.1659462485797256,0.131,0.2250612308305825,0.1055,0.3360965162901111
bge-small,recent,comments_module_all_recent,comments,module,all,0.8174285714285713,0.8236785714285714,0.75,0.7366666666666666,0.2983333333333333,0.87,0.1889999999999999,0.9175,0.0994999999999999,0.9616666666666666
bge-small,modn,title_file_w100_modn,title,file,w100,0.0231514060674774,0.0622281746031746,0.05,0.0108733766233766,0.025,0.016801948051948,0.024,0.0286017316017316,0.017,0.0468636363636363
bge-small,modn,title_module_w100_modn,title,module,w100,0.363986111111111,0.3925833333333333,0.24,0.2172222222222222,0.1483333333333333,0.3683333333333333,0.168,0.7036111111111112,0.088,0.7208333333333333
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0187437265781482,0.0571805555555555,0.035,0.0078730158730158,0.03,0.0225696248196248,0.024,0.0294686147186147,0.016,0.0406287394197842
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.3543333333333334,0.37975,0.24,0.2172222222222222,0.135,0.3416666666666666,0.131,0.5319444444444444,0.088,0.7208333333333333
